graph,component,component
openstack-base-xenial-pike-5.yml,cs:ntp,cs:~openstack-charmers-next/xenial/nova
openstack-base-xenial-pike-5.yml,cs:ntp,cs:~openstack-charmers-next/xenial/neutron
openstack-base-xenial-pike-5.yml,cs:~openstack-charmers-next/xenial/ceph/ceph-radosgw,cs:~openstack-charmers-next/xenial/ceph/ceph-mon
bac-rails-example-scalable-8.yml,cs:precise/postgresql,cs:precise/rails
bac-rails-example-scalable-8.yml,cs:precise/haproxy,cs:precise/rails
bac-rails-example-scalable-8.yml,cs:precise/kibana,cs:precise/logstash-indexer
bac-rails-example-scalable-8.yml,cs:precise/logstash-agent,cs:precise/logstash-indexer
bac-rails-example-scalable-8.yml,cs:precise/logstash-agent,cs:precise/rails
bac-rails-example-scalable-8.yml,cs:precise/rails,cs:precise/nagios
bac-rails-example-scalable-8.yml,cs:precise/nrpe,cs:precise/nagios
bac-rails-example-scalable-8.yml,cs:precise/rails,cs:precise/nrpe
bac-rails-example-scalable-8.yml,cs:precise/memcached,cs:precise/rails
bac-rails-example-scalable-8.yml,cs:precise/redis-master,cs:precise/rails
saiku-drill-hadoop-4.yml,cs:~bigdata-dev/xenial/rsyslog,cs:~bigdata-dev/xenial/rsyslog-forwarder-ha
saiku-drill-hadoop-4.yml,cs:ganglia,cs:ganglia-node
saiku-drill-hadoop-4.yml,cs:ganglia-node,cs:hadoop-namenode
saiku-drill-hadoop-4.yml,cs:~bigdata-dev/xenial/rsyslog-forwarder-ha,cs:hadoop-namenode
saiku-drill-hadoop-4.yml,cs:ganglia-node,cs:hadoop-resourcemanager
saiku-drill-hadoop-4.yml,cs:ganglia-node,cs:hadoop-slave
saiku-drill-hadoop-4.yml,cs:~bigdata-dev/xenial/rsyslog-forwarder-ha,cs:hadoop-resourcemanager
saiku-drill-hadoop-4.yml,cs:~bigdata-dev/xenial/rsyslog-forwarder-ha,cs:hadoop-slave
saiku-drill-hadoop-4.yml,cs:hadoop-namenode,cs:hadoop-slave
saiku-drill-hadoop-4.yml,cs:hadoop-resourcemanager,cs:hadoop-slave
saiku-drill-hadoop-4.yml,cs:hadoop-plugin,cs:hadoop-resourcemanager
saiku-drill-hadoop-4.yml,cs:hadoop-plugin,cs:hadoop-namenode
saiku-drill-hadoop-4.yml,cs:hadoop-resourcemanager,cs:hadoop-namenode
saiku-drill-hadoop-4.yml,cs:hadoop-client,cs:hadoop-plugin
saiku-drill-hadoop-4.yml,cs:zookeeper,cs:~spiculecharms/apache-drill
saiku-drill-hadoop-4.yml,cs:~spiculecharms/apache-drill,cs:hadoop-namenode
saiku-drill-hadoop-4.yml,cs:~spiculecharms/saiku-enterprise,cs:~spiculecharms/apache-drill
transcode-cloud-7.yml,cs:precise/nfs,cs:precise/transcode
transcode-cloud-7.yml,cs:precise/ganglia,cs:precise/ganglia-node
transcode-cloud-7.yml,cs:precise/ganglia-node,cs:precise/transcode
transcode-cloud-7.yml,cs:precise/ganglia-node,cs:precise/nfs
cplane-neutron-ovs-controller-with-ogr-node-oracle-2.yml,cs:trusty/nova,cs:trusty/rabbitmq
cplane-neutron-ovs-controller-with-ogr-node-oracle-2.yml,cs:~cplane,cs:trusty/percona
cplane-neutron-ovs-controller-with-ogr-node-oracle-2.yml,cs:trusty/nova-cloud,cs:~cplane
cplane-neutron-ovs-controller-with-ogr-node-oracle-2.yml,cs:trusty/glance,cs:~cplane
