graph,component,component,distance
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/hdp-storm,2
complex-webapp-and-management-bundle-10.yml,cs:precise/node-app,cs:trusty/hdp-zookeeper,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:~vpalos/trusty/kafka,0
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/hdp-zookeeper,1
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/nrpe,1
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/ganglia-node,1
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/landscape-client,1
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/logstash-agent,1
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/hdp-storm,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/ganglia,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/kibana,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/elasticsearch,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:precise/logstash-indexer,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:precise/mongodb,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/rabbitmq-server,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/mysql,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/memcached,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/terracotta,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/postgresql,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:precise/redis-master,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/zend-server,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/tomcat,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:precise/node-app,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/python-django,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:precise/rails,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/haproxy,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:precise/openvpn-as,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/nagios,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/hdp-hive,2
complex-webapp-and-management-bundle-10.yml,cs:~vpalos/trusty/kafka,cs:trusty/hdp-hadoop,2
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-storm/nimbus-server,cs:trusty/hdp-storm/nimbus-server,0
complex-webapp-and-management-bundle-10.yml,cs:trusty/hdp-storm/nimbus-server,cs:trusty/hdp-storm/storm-worker,1
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:precise/mongodb,0
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/nrpe,1
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/logstash-agent,1
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/landscape-client,1
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/ganglia-node,1
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:precise/node-app,1
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/ganglia,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/kibana,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/elasticsearch,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:precise/logstash-indexer,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/rabbitmq-server,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/mysql,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/memcached,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/terracotta,2
complex-webapp-and-management-bundle-10.yml,cs:precise/mongodb,cs:trusty/postgresql,2
